Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
USD,Buying,27.245,27.595,27.59,27.589,27.585,27.576,27.567,27.557,27.548,Selling,27.915,27.695,27.696,27.695,27.694,27.693,27.691,27.69,27.689
HKD,Buying,3.405,3.531,3.531,3.53,3.529,3.529,3.528,3.527,3.525,Selling,3.609,3.591,3.591,3.592,3.592,3.592,3.592,3.592,3.592
GBP,Buying,37.83,38.84,38.834,38.823,38.817,38.812,38.796,38.781,38.766,Selling,39.95,39.24,39.244,39.253,39.248,39.244,39.243,39.242,39.241
AUD,Buying,20.9,21.19,21.187,21.182,21.181,21.181,21.175,21.168,21.16,Selling,21.68,21.39,21.393,21.4,21.399,21.399,21.401,21.402,21.402
CAD,Buying,22.28,22.68,22.675,22.665,22.66,22.657,22.646,22.636,22.626,Selling,23.19,22.88,22.883,22.889,22.884,22.881,22.88,22.878,22.877
SGD,Buying,20.28,20.77,20.765,20.755,20.75,20.746,20.736,20.727,20.717,Selling,21.19,20.95,20.952,20.957,20.952,20.949,20.947,20.945,20.943
CHF,Buying,30.0,30.68,30.679,30.676,30.682,30.722,30.728,30.734,30.74,Selling,31.2,30.93,30.945,30.975,31.007,31.009,31.037,31.065,31.093
JPY,Buying,0.242,0.2493,0.2493,0.2493,0.2493,0.2493,0.2493,0.2493,0.2492,Selling,0.2548,0.2533,0.2534,0.2535,0.2535,0.2535,0.2536,0.2537,0.2538
ZAR,Buying,0.0,1.974,1.971,1.964,1.955,1.946,1.936,1.926,1.917,Selling,0.0,2.054,2.052,2.047,2.038,2.03,2.022,2.014,2.006
SEK,Buying,2.95,3.29,3.289,3.288,3.288,3.288,3.288,3.287,3.287,Selling,3.47,3.39,3.391,3.393,3.393,3.394,3.394,3.395,3.395
NZD,Buying,19.29,19.67,19.665,19.654,19.649,19.644,19.633,19.623,19.612,Selling,20.14,19.87,19.873,19.879,19.875,19.871,19.868,19.864,19.861
THB,Buying,0.7606,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.9506,0.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHP,Buying,0.5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.6351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDR,Buying,0.00163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUR,Buying,32.76,33.38,33.382,33.387,33.399,33.415,33.422,33.428,33.435,Selling,34.1,33.78,33.791,33.812,33.829,33.846,33.869,33.892,33.914
KRW,Buying,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VND,Buying,0.00083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYR,Buying,5.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNY,Buying,4.22,4.292,4.2882,4.2807,4.2707,4.2605,4.249,4.2376,4.2263,Selling,4.382,4.342,4.3399,4.3358,4.3282,4.32,4.3123,4.3046,4.297
