Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,27.49500,27.82000,27.83400,27.83200,27.82800,27.82100,27.81300,27.80400,27.79100,Selling,28.16500,27.97000,27.94100,27.94000,27.93900,27.93800,27.93700,27.93500,27.93300,
HKD,Buying,3.43700,3.55800,3.56100,3.56000,3.56000,3.56000,3.55900,3.55700,3.55600,Selling,3.64100,3.62800,3.62100,3.62200,3.62200,3.62200,3.62200,3.62200,3.62200,
GBP,Buying,37.30000,38.19500,38.36600,38.35900,38.35800,38.35700,38.34800,38.34000,38.33100,Selling,39.42000,38.82500,38.77400,38.78300,38.78300,38.78200,38.78600,38.79100,38.79500,
AUD,Buying,20.51000,20.72500,20.79800,20.79400,20.79400,20.79500,20.78900,20.78300,20.78000,Selling,21.29000,21.07000,21.00300,21.01000,21.01200,21.01200,21.01400,21.01500,21.02000,
CAD,Buying,22.02000,22.35000,22.39600,22.38900,22.38700,22.38400,22.37800,22.37100,22.36400,Selling,22.93000,22.68000,22.60300,22.60800,22.60700,22.60500,22.60600,22.60600,22.60700,
SGD,Buying,20.14000,20.61000,20.63600,20.62800,20.62400,20.62100,20.61200,20.60300,20.59500,Selling,21.05000,20.83000,20.82200,20.82600,20.82400,20.82000,20.81800,20.81600,20.81400,
CHF,Buying,29.35000,29.96000,29.97300,29.97800,30.00000,30.02300,30.03900,30.05600,30.07300,Selling,30.55000,30.35000,30.23300,30.25800,30.28100,30.30400,30.33100,30.35800,30.38500,
JPY,Buying,0.24110,0.24810,0.24870,0.24860,0.24870,0.24870,0.24870,0.24880,0.24880,Selling,0.25390,0.25270,0.25280,0.25290,0.25300,0.25300,0.25310,0.25320,0.25330,
ZAR,Buying,0.00000,1.90900,1.91100,1.90400,1.89600,1.88800,1.88000,1.87100,1.86300,Selling,0.00000,1.99900,1.99200,1.98700,1.98000,1.97200,1.96400,1.95600,1.94800,
SEK,Buying,2.87000,3.20000,3.21000,3.20900,3.21000,3.21000,3.21000,3.21000,3.21100,Selling,3.39000,3.32000,3.31100,3.31300,3.31300,3.31400,3.31500,3.31600,3.31800,
NZD,Buying,19.02000,19.35000,19.41600,19.40700,19.40300,19.39800,19.38800,19.37800,19.36700,Selling,19.87000,19.65000,19.62300,19.62900,19.62600,19.62200,19.61800,19.61400,19.61000,
THB,Buying,0.74290,0.85230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.93290,0.89830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.49300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.62600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,32.30000,32.81500,32.85200,32.85700,32.87500,32.88900,32.90100,32.91200,32.92300,Selling,33.64000,33.41500,33.26100,33.28400,33.30500,33.32400,33.35000,33.37700,33.40300,
KRW,Buying,0.02290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,5.69600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,7.17600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.21400,4.28100,4.28500,4.27700,4.26670,4.25510,4.24380,4.23250,4.22130,Selling,4.37600,4.34100,4.33650,4.33150,4.32080,4.31460,4.30690,4.29930,4.29170,
